Name,Team,MLBAMID
CJ Abrams,Washington Nationals,682928
Wilyer Abreu,Boston Red Sox,677800
CJ Alexander,Kansas City Royals,680769
Eddy Alvarez,New York Mets,657193
Yordan Alvarez,Houston Astros,670541
Jonathan Aranda,Tampa Bay Rays,666018
Luis Arraez,San Diego Padres,650333
Akil Baddoo,Detroit Tigers,668731
Ji Hwan Bae,Pittsburgh Pirates,678225
Darren Baker,Washington Nationals,671117
Addison Barger,Toronto Blue Jays,680718
Tucker Barnhart,Arizona Diamondbacks,571466
Brett Baty,New York Mets,683146
Jake Bauers,Milwaukee Brewers,641343
Cody Bellinger,Chicago Cubs,641355
Andrew Benintendi,Chicago White Sox,643217
Will Benson,Cincinnati Reds,666181
Cavan Biggio,Atlanta Braves,624415
Tyler Black,Milwaukee Brewers,672012
Charlie Blackmon,Colorado Rockies,453568
Travis Blankenhorn,Washington Nationals,663905
JJ Bleday,Oakland Athletics,668709
Rob Brantly,Tampa Bay Rays,542963
Will Brennan,Cleveland Guardians,686823
Trenton Brooks,San Francisco Giants,670092
Seth Brown,Oakland Athletics,664913
Alec Burleson,St. Louis Cardinals,676475
Michael Busch,Chicago Cubs,683737
Lawrence Butler,Oakland Athletics,671732
Trey Cabbage,Houston Astros,663550
Willie Calhoun,Los Angeles Angels,641432
Dominic Canzone,Seattle Mariners,686527
Conner Capel,Cincinnati Reds,668843
Kerry Carpenter,Detroit Tigers,681481
Matt Carpenter,St. Louis Cardinals,572761
Corbin Carroll,Arizona Diamondbacks,682998
Evan Carter,Texas Rangers,694497
Triston Casas,Boston Red Sox,671213
Jake Cave,Colorado Rockies,595909
Jazz Chisholm Jr.,New York Yankees,665862
Kody Clemens,Philadelphia Phillies,665019
Oscar Colás,Chicago White Sox,693049
Michael Conforto,San Francisco Giants,624424
Griffin Conine,Miami Marlins,665052
Colton Cowser,Baltimore Orioles,681297
Brandon Crawford,St. Louis Cardinals,543063
J.P. Crawford,Seattle Mariners,641487
Jake Cronenworth,San Diego Padres,630105
Pete Crow-Armstrong,Chicago Cubs,691718
Oneil Cruz,Pittsburgh Pirates,665833
David Dahl,Philadelphia Phillies,621311
Adrian Del Castillo,Arizona Diamondbacks,680728
Zach DeLoach,Chicago White Sox,676113
José Devers,Miami Marlins,672701
Rafael Devers,Boston Red Sox,646240
Brendan Donovan,St. Louis Cardinals,680977
Logan Driscoll,Tampa Bay Rays,686482
Oliver Dunn,Milwaukee Brewers,686554
Jarren Duran,Boston Red Sox,680776
Duke Ellis,New York Yankees,668752
Hunter Feduccia,Los Angeles Dodgers,676439
Dominic Fletcher,Chicago White Sox,666150
Estevan Florial,Cleveland Guardians,664314
Mike Ford,Cincinnati Reds,645801
Jake Fraley,Cincinnati Reds,641584
Adam Frazier,Kansas City Royals,624428
Freddie Freeman,Los Angeles Dodgers,518692
Sal Frelick,Milwaukee Brewers,686217
TJ Friedl,Cincinnati Reds,670770
Joey Gallo,Washington Nationals,608336
Ben Gamel,Houston Astros,592325
Luis García Jr.,Washington Nationals,671277
Andrés Giménez,Cleveland Guardians,665926
Nick Gordon,Miami Marlins,624503
Nolan Gorman,St. Louis Cardinals,669357
Tristan Gray,Oakland Athletics,656484
Riley Greene,Detroit Tigers,682985
Trent Grisham,New York Yankees,663757
Luis Guillorme,Los Angeles Angels,641645
David Hamilton,Boston Red Sox,666152
Bryce Harper,Philadelphia Phillies,547180
Dustin Harris,Texas Rangers,687957
Michael Harris II,Atlanta Braves,671739
Gunnar Henderson,Baltimore Orioles,683002
Jason Heyward,Houston Astros,518792
Sam Hilliard,Colorado Rockies,656541
