Name,Team,MLBAMID
José Abreu,Houston Astros,547989
Luisangel Acuña,New York Mets,682668
Ronald Acuña Jr.,Atlanta Braves,660670
Willy Adames,Milwaukee Brewers,642715
Jordyn Adams,Los Angeles Angels,677941
Riley Adams,Washington Nationals,656180
Jo Adell,Los Angeles Angels,666176
Nick Ahmed,San Diego Padres,605113
Kevin Alcántara,Chicago Cubs,682634
Blaze Alexander,Arizona Diamondbacks,677942
Nick Allen,Oakland Athletics,669397
Pete Alonso,New York Mets,624413
Jose Altuve,Houston Astros,514888
Armando Alvarez,Oakland Athletics,669137
Francisco Alvarez,New York Mets,682626
Nacho Alvarez Jr.,Atlanta Braves,805373
Jacob Amaya,Chicago White Sox,676070
Miguel Amaya,Chicago Cubs,665804
Brian Anderson,Atlanta Braves,605119
Tim Anderson,Miami Marlins,641313
Miguel Andujar,Oakland Athletics,609280
Orlando Arcia,Atlanta Braves,606115
Nolan Arenado,St. Louis Cardinals,571448
Gabriel Arias,Cleveland Guardians,672356
Randy Arozarena,Seattle Mariners,668227
José Azocar,San Diego Padres,640492
Harrison Bader,New York Mets,664056
Javier Báez,Detroit Tigers,595879
Luken Baker,St. Louis Cardinals,663609
David Bañuelos,Baltimore Orioles,675915
Austin Barnes,Los Angeles Dodgers,605131
Joey Bart,Pittsburgh Pirates,663698
Matthew Batten,San Diego Padres,676946
Jordan Beck,Colorado Rockies,687597
Jon Berti,New York Yankees,542932
Christian Bethancourt,Chicago Cubs,542194
Mookie Betts,Los Angeles Dodgers,605141
Bo Bichette,Toronto Blue Jays,666182
Dairon Blanco,Kansas City Royals,680118
Ryan Bliss,Seattle Mariners,669208
Xander Bogaerts,San Diego Padres,593428
Alec Bohm,Philadelphia Phillies,664761
David Bote,Chicago Cubs,623520
Sean Bouchard,Colorado Rockies,656248
Alex Bregman,Houston Astros,608324
Jonah Bride,Miami Marlins,681146
Kris Bryant,Colorado Rockies,592178
Jake Burger,Miami Marlins,669394
Byron Buxton,Minnesota Twins,621439
José Caballero,Tampa Bay Rays,676609
Alex Call,Washington Nationals,669743
Jair Camargo,Minnesota Twins,665856
Daz Cameron,Oakland Athletics,663662
Junior Caminero,Tampa Bay Rays,691406
Luis Campusano,San Diego Padres,669134
Alexander Canario,Chicago Cubs,672744
Mark Canha,San Francisco Giants,592192
Vinny Capra,Milwaukee Brewers,681962
Curt Casali,San Francisco Giants,592200
Nick Castellanos,Philadelphia Phillies,592206
Diego Castillo,Minnesota Twins,660636
Andrés Chaparro,Washington Nationals,665953
Matt Chapman,San Francisco Giants,656305
Jackson Chourio,Milwaukee Brewers,694192
Ernie Clement,Toronto Blue Jays,676391
William Contreras,Milwaukee Brewers,661388
